url,verdict,coverageState,indexingState,robotsTxtState,pageFetchState,userCanonical,googleCanonical,lastCrawlTime,crawledAs,referringSitemaps,error
https://reklamap.pl/dodaj-powierzchnie-reklamowa,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/dodaj-powierzchnie-reklamowa,https://reklamap.pl/dodaj-powierzchnie-reklamowa,2026-09-01T06:22:48Z,MOBILE,,
https://reklamap.pl/faq,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/faq,https://reklamap.pl/faq,2026-07-26T21:26:19Z,MOBILE,,
https://reklamap.pl/kontakt,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/kontakt,https://reklamap.pl/kontakt,2026-08-23T05:51:52Z,MOBILE,,
https://reklamap.pl/polityka-prywatnosci,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/polityka-prywatnosci,https://reklamap.pl/polityka-prywatnosci,2026-08-31T00:45:34Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/bielewo/dw-308-gostyn-koscian-banery-reklama-308,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/banery/bielewo/dw-308-gostyn-koscian-banery-reklama-308,https://reklamap.pl/powierzchnia-reklamowa/banery/bielewo/dw-308-gostyn-koscian-banery-reklama-308,2026-08-23T17:45:42Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/czerwionka-leszczyny/baner-przy-ulicy-armii-krajowej-73,NEUTRAL,"Strona zeskanowana, ale jeszcze nie zindeksowana",INDEXING_STATE_UNSPECIFIED,ALLOWED,SUCCESSFUL,,,2026-09-06T19:43:49Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/czestochowa/czestochowa-parkitka-okulickiego-przy-skrzyzowaniu-dk-43-i-46-64,NEUTRAL,Adres URL jest Google nieznany,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,,,
https://reklamap.pl/powierzchnia-reklamowa/banery/elblag/elblag-baner-reklamowy-65,NEUTRAL,Strona wykryta – obecnie niezindeksowana,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,CRAWLING_USER_AGENT_UNSPECIFIED,,
https://reklamap.pl/powierzchnia-reklamowa/banery/gora-kalwaria/billboard-przy-krajowej-50-115,NEUTRAL,"Strona zeskanowana, ale jeszcze nie zindeksowana",INDEXING_STATE_UNSPECIFIED,ALLOWED,SUCCESSFUL,,,2026-09-07T05:25:04Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/katowice/banner-katowice-ul-bochenskiego-109,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/banery/katowice/banner-katowice-ul-bochenskiego-109,https://reklamap.pl/powierzchnia-reklamowa/banery/katowice/banner-katowice-ul-bochenskiego-109,2026-09-04T16:42:52Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/katowice/banner-katowice-ul-bochenskiego-200-mkw-108,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/banery/katowice/banner-katowice-ul-bochenskiego-200-mkw-108,https://reklamap.pl/powierzchnia-reklamowa/banery/katowice/banner-katowice-ul-bochenskiego-200-mkw-108,2026-09-04T08:49:00Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/ruda-slaska/powoerzchnia-reklamowa-41,NEUTRAL,Strona wykryta – obecnie niezindeksowana,INDEXING_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,,,,CRAWLING_USER_AGENT_UNSPECIFIED,,
https://reklamap.pl/powierzchnia-reklamowa/banery/ustron/wynajme-nosnik-reklamy-96m2-w-ustroniu-na-swiatlachprawa-strona-do-skoczowa-1244,NEUTRAL,Alternatywna strona zawierająca prawidłowy tag strony kanonicznej,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/,https://reklamap.pl/powierzchnia-reklamowa/ekrany-led/olsztyn/telebim-olsztyn-centrum-ratusz-1025,2026-09-03T09:58:52Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/banery/warszawa/reklama-na-dachu-przy-al-ken-w-warszawie-84,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/banery/warszawa/reklama-na-dachu-przy-al-ken-w-warszawie-84,https://reklamap.pl/powierzchnia-reklamowa/banery/warszawa/reklama-na-dachu-przy-al-ken-w-warszawie-84,2026-07-18T12:09:04Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-1030,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-1030,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-1030,2026-08-24T21:56:44Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-i2-1031,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-i2-1031,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-i2-1031,2026-08-24T11:11:26Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-ii-1032,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-ii-1032,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-beskidzka-ii-1032,2026-08-24T21:09:42Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-jaroslawa-dabrowskiego-1034,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-jaroslawa-dabrowskiego-1034,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-jaroslawa-dabrowskiego-1034,2026-08-22T19:44:51Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-jaroslawa-dabrowskiego-i2-1035,NEUTRAL,"Strona zeskanowana, ale jeszcze nie zindeksowana",INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-jaroslawa-dabrowskiego-i2-1035,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-jaroslawa-dabrowskiego-i2-1035,2026-08-24T11:14:23Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-krakowska-2-1037,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-krakowska-2-1037,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-krakowska-2-1037,2026-08-22T20:44:18Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-krakowska-i-1036,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-krakowska-i-1036,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-krakowska-i-1036,2026-08-22T21:01:01Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-starowiejska-1039,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-starowiejska-1039,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-starowiejska-1039,2026-08-24T10:55:42Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-starowiejska-i2-1040,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-starowiejska-i2-1040,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-starowiejska-i2-1040,2026-08-24T11:23:00Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-stefana-batorego-ii-1029,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-stefana-batorego-ii-1029,https://reklamap.pl/powierzchnia-reklamowa/billboardy/andrychow/billboard-andrychow-stefana-batorego-ii-1029,2026-08-22T19:43:01Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-do-barda-580,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-do-barda-580,https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-do-barda-580,2026-08-29T03:21:53Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-do-barda-582,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-do-barda-582,https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-do-barda-582,2026-09-07T08:12:19Z,MOBILE,,
https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-od-klodzka-ulkolejowa-432,PASS,Strona przesłana i zindeksowana,INDEXING_ALLOWED,ALLOWED,SUCCESSFUL,https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-od-klodzka-ulkolejowa-432,https://reklamap.pl/powierzchnia-reklamowa/billboardy/bardo/billboard-bardo-wjazd-od-klodzka-ulkolejowa-432,2026-08-29T01:16:55Z,MOBILE,,
